DriveID,DriveLabel,Path,Depth,Type,Name,Subdirs,Files,ItemCount,FileTypes,Size,SizeUnit
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany8Extra,3,File,Project_2025-06-13_11-50-orthomosaic.tiff,,,,>=2GB,26.63,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany8Extra,3,Folder,St.Tammany8Extra,0,2,2,xml:1; pdf:1,2.65,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany9,3,File,Project_2025-05-31_01-46-orthomosaic_3857.tif,,,,>=2GB,111.06,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany9,3,File,Project_2025-05-31_01-46-orthomosaic_3857.tif.ovr,,,,>=2GB,31.56,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany9,3,File,Project_2025-06-02_17-06-orthomosaic.tiff,,,,>=2GB,95.79,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany9,3,Folder,St.Tammany9,0,4,4,xml:3; pdf:1,2.56,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany1,3,File,St.Tammany1_Ortho.tif,,,,>=2GB,56.55,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany1,3,Folder,St.Tammany1,0,1,1,xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany1Extra,3,File,Map1_ortho_SatJun07224933344295.tif,,,,>=2GB,8.33,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany1Extra,3,File,Map1_ortho_SatJun07224933344295.tif.ovr,,,,>=2GB,4.36,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany1Extra,3,Folder,St.Tammany1Extra,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany2,3,File,St.Tammany2_Ortho.tif,,,,>=2GB,80.27,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany2,3,Folder,St.Tammany2,0,1,1,xml:1,0.01,MB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany2Extra,3,File,Map1_ortho_SunJun08185942534906.tif,,,,>=2GB,10.61,GB
CE6A70F1,Cell 9,E:\St_Tammany\ORTHO\St.Tammany2Extra,3,Folder,St.Tammany2Extra,0,3,3,kml:1; tfw:1; xml:1,0.01,MB
06757EBD,Cell 10,E:\,0,File,Samsung portable SSD SW for Android.txt,,,,,0.0,MB
06757EBD,Cell 10,E:\,0,File,SamsungPortableSSD_Setup_Mac_1.0.pkg,,,,,22.83,MB
06757EBD,Cell 10,E:\,0,File,SamsungPortableSSD_Setup_Win_1.0.exe,,,,,8.03,MB
06757EBD,Cell 10,E:\,0,File,acronis-backup-software.url,,,,,0.0,MB
06757EBD,Cell 10,E:\,0,File,adobe-creative-cloud.url,,,,,0.0,MB
06757EBD,Cell 10,E:\,0,File,hedge-transfer-software.url,,,,,0.0,MB
06757EBD,Cell 10,E:\,0,File,mylio-photo-organizer.url,,,,,0.0,MB
06757EBD,Cell 10,E:\,0,File,screen-20241102-220540.mp4,,,,,1.26,GB
06757EBD,Cell 10,E:\,0,File,._screen-20241102-220540.mp4,,,,,0.0,MB
06757EBD,Cell 10,E:\,0,File,WingtraWindy2-Orthomosaic.tiff,,,,,25.44,GB
06757EBD,Cell 10,E:\,0,File,WingtraWindy2-Orthomosaic.tiff,,,,>=2GB,25.44,GB
06757EBD,Cell 10,E:\,0,Folder,E:,15,9,9,url:4; mp4:2; txt:1; pkg:1; exe:1,1.29,GB
